1|20230105|Khachapuri|8.0|2
2|20230110|Saperavi Wine|15.0|1
3|20230115|Tkemali Sauce|5.0|3
4|20230120|Khinkali|34.0|2
5|20230201|Churchkhela|3.0|4
6|20230205|Pizza Margherita|12.0|2
7|20230210|Burger Deluxe|9.0|1
8|20230215|Tiramisu|6.0|3
9|20230220|Cola|2.0|4
10|20230225|Spaghetti Bolognese|14.0|1
11|20230301|Sushi Combo|18.0|2
12|20230305|Pad Thai|11.0|3
13|20230310|Chicken Caesar Salad|7.0|1
14|20230315|Cheese Fondue|16.0|4
15|20230320|Guacamole|4.0|2
16|20230325|Croissant|3.0|3
17|20230401|Chai Latte|25.0|1
18|20230405|Hamburger|8.0|4
19|20230410|Mango Lassi|4.0|2
20|20230415|Baklava|6.0|3
21|20230415|vashli|6.0|5
